char,zhuyin
維,ㄨㄟˊ
網,ㄨㄤˇ
緊,ㄐㄧㄣˇ
緒,ㄒㄩˋ
編,ㄅㄧㄢ
練,ㄌㄧㄢˋ
總,ㄗㄨㄥˇ
績,ㄐㄧ
繁,ㄈㄢˊ
織,ㄓ
繞,ㄖㄠˋ
繩,ㄕㄥˊ
繼,ㄐㄧˋ
續,ㄒㄩˋ
缺,ㄑㄩㄝ
置,ㄓˋ
羊,ㄧㄤˊ
美,ㄇㄟˇ
羞,ㄒㄧㄡ
羣,ㄑㄩㄣˊ
義,ㄧˋ
習,ㄒㄧˊ
翻,ㄈㄢ
老,ㄌㄠˇ
考,ㄎㄠˇ
者,ㄓㄜˇ
而,ㄦˊ
耐,ㄋㄞˋ
耳,ㄦˇ
聊,ㄌㄧㄠˇ
聖,ㄕㄥˋ
聚,ㄐㄩˋ
聞,ㄨㄣˊ
聯,ㄌㄧㄢˊ
聲,ㄕㄥ
聽,ㄊㄧㄥ
肉,ㄖㄡˋ
肚,ㄉㄨˋ
肝,ㄍㄢ
肥,ㄈㄟˊ
肯,ㄎㄣˇ
育,ㄩˋ
肺,ㄈㄟˋ
胃,ㄨㄟˋ
背,ㄅㄟˋ
胖,ㄆㄤˋ
胡,ㄏㄨˊ
能,ㄋㄥˊ
脫,ㄊㄨㄛ
脾,ㄆㄧˊ
腎,ㄕㄣˋ
腐,ㄈㄨˇ
腔,ㄑㄧㄤ
腦,ㄋㄠˇ
腫,ㄓㄨㄥˇ
腳,ㄐㄧㄠˇ
腸,ㄔㄤˊ
腿,ㄊㄨˇ
臂,ㄅㄧˋ
自,ㄗˋ
臭,ㄔㄡˋ
至,ㄓˋ
致,ㄓˋ
臺,ㄊㄞˊ
與,ㄩˇ
興,ㄒㄧㄥ
舉,ㄐㄩˇ
舊,ㄐㄧㄡˋ
舌,ㄕㄜˊ
舍,ㄕㄜˋ
舒,ㄕㄨ
舞,ㄨˇ
舟,ㄓㄡ
航,ㄏㄤˊ
般,ㄅㄢ
舵,ㄉㄨㄛˋ
船,ㄔㄨㄢˊ
艙,ㄘㄤ
良,ㄌㄧㄤˊ
色,ㄙㄜˋ
花,ㄏㄨㄚ
苗,ㄇㄧㄠˊ
若,ㄖㄨㄛˋ
苦,ㄎㄨˇ
英,ㄧㄥ
草,ㄘㄠˇ
荒,ㄏㄨㄤ
菜,ㄘㄞˋ
華,ㄏㄨㄚˊ
萬,ㄨㄢˋ
落,ㄌㄨㄛˋ
蒙,ㄇㄥˊ
蒸,ㄓㄥ
蓋,ㄍㄞˋ
薪,ㄒㄧㄣ
藍,ㄌㄢˊ
藏,ㄘㄤˊ
藝,ㄧˋ
藥,ㄧㄠˋ
虎,ㄏㄨˇ
處,ㄔㄨˋ
號,ㄏㄠˋ
蛋,ㄉㄢˋ
蛙,ㄨㄚ
血,ㄒㄧㄝˇ
衆,ㄓㄨㄥˋ
行,ㄒㄧㄥˊ
術,ㄕㄨˋ
街,ㄐㄧㄝ
衣,一
表,ㄅㄧㄠˇ
袋,ㄉㄞˋ
被,ㄅㄟˋ
裏,ㄌㄧˇ
裙,ㄑㄩㄣˊ
補,ㄅㄨˇ
